"","Variable","Estimate","Est_error","CI_low","CI_high","Rhat","Bulk_ESS","Tail_ESS","Variable_full","Variable_type"
"1","min.extent",-0.12991649310551,0.12747090458859,-0.374435241861539,0.135713665272806,0.999879263744705,3586.77407526444,1807.27216750412,"Sea ice min. extent","ice"
"2","NDVImodis",0.0130092073019822,0.0557381206107098,-0.0992955736572512,0.122901357719651,1.00047712000288,2582.30672276583,1862.32065908866,"MODIS max. NDVI","ndvi"
"3","onset.melt",-0.0956651246485974,0.0641029981750783,-0.220156919263325,0.0322906529972804,1.00065856261473,2455.40194052229,2133.4337991848,"Sea ice melt onset","ice"
"4","P1",-0.0401689259970131,0.077761751066335,-0.190713554759102,0.105605677225551,0.999764343693448,1947.77366050197,1376.3380998264,"Snow melt","ice"
"5","P2",-0.0369948834971261,0.0702760394272274,-0.159291775897257,0.109771841629711,1.0027214111633,1109.76160450016,374.970626794904,"Leaf emergence","pheno"
"6","P5",-0.0946785110713313,0.0417178958082592,-0.172912995415027,-0.0101412743368327,1.00174367797998,3701.04299642632,2052.85788248682,"Leaf senescence","pheno"
"7","pautumn",-0.00664504461295249,0.0552820476961693,-0.119568287701685,0.103919896329335,1.00044358716487,2774.9379399784,2473.49868219488,"Autumn precip.","precip"
"8","ppautumn",-0.00940528424163239,0.0511932101732915,-0.108638760328567,0.0922854560585759,1.00025265933197,2548.06669713743,1831.20755213729,"Prev. autumn precip.","precip"
"9","ppsummer",-0.0283955429219301,0.0578166060345039,-0.143882741537504,0.0888269370197116,0.999907749873038,2553.69650984129,2199.98678289932,"Prev. summer precip.","precip"
"10","pPx",-0.0259658242023347,0.0565057294747363,-0.13608438388823,0.0843628707980559,0.999935487843697,3246.61656884973,2689.16455641073,"Prev. GSL","pheno"
"11","pspring",-0.00631919504861158,0.045266589353322,-0.096382677147922,0.0806938886360508,1.00035583986242,2279.49195473646,2042.30585231581,"Spring precip.","precip"
"12","psummer",0.0157405157052106,0.0593417072839705,-0.103000869253975,0.138151503189867,1.00005454600331,2774.92202904822,2294.51754071011,"Summer precip.","precip"
"13","ptautumn",0.0945584662624802,0.0522425078675291,-0.0105473728763464,0.196427759053428,1.00281837769901,2911.26608046661,2186.50577141925,"Prev. temp. autumn","temp"
"14","ptsummer",-0.00148607130753304,0.0630729703913227,-0.126091207252919,0.125179044502776,1.00121865977942,2937.0239090318,2192.91970105953,"Prev. temp. summer","temp"
"15","pwinter",-0.00557382053952173,0.0623970220815944,-0.132670970461619,0.119937041839864,1.00071029508357,2658.02833996267,2492.72252442724,"Winter precip.","precip"
"16","Px",-0.0517737018339279,0.0617490920228738,-0.174485801993776,0.0685842700752024,1.00258407096374,3024.64603500114,2363.15720160153,"GSL","pheno"
"17","tautumn",0.0725792500843696,0.0554380653991498,-0.0355776736741811,0.187898131069522,1.00197121005867,2175.6688041281,1924.23633403944,"Autumn temp.","temp"
"18","tspring",0.0158955642091508,0.0536600633320693,-0.0874306825831887,0.12370575380716,1.00017294363222,2554.76075830658,1995.58563091882,"Spring temp.","temp"
"19","tsummer",0.118456179078866,0.0515517631552658,0.0154496127795635,0.213994924334632,1.0000688855293,4979.13112125885,2724.95054518738,"Summer temp.","temp"
"20","twinter",-0.0229534256342113,0.0457469981330156,-0.114719100893603,0.0669834472316694,1.00120321725764,2033.57987191281,1994.64575738859,"Winter temp.","temp"
